Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R
30/12/2012,Pakistan,MA Chidambaram Stadium,Mohammad Hafeez (b),9.0,2/27,27.00
 , , ,Azhar Ali (c R G Sharma), , , 
03/01/2013,Pakistan,Eden Gardens,Saeed Ajmal (c V Sehwag),9.0,1/61,36.00
06/01/2013,Pakistan,Feroz Shah Kotla,Younis Khan (b),10.0,2/31,33.60
 , , ,Kamran Akmal (lbw), , , 
11/01/2013,England,Saurashtra Cricket Association Stadium, ,7.0,0/52,42.00
15/01/2013,England,Nehru Stadium (Kochi),K P Pietersen (b),10.0,3/29,33.75
 , , ,A N Cook (lbw), , , 
 , , ,E J G Morgan (c †M S Dhoni), , , 
19/01/2013,England,JSCA International Stadium Complex,I R Bell (c †M S Dhoni),10.0,1/40,36.67
23/01/2013,England,Punjab Cricket Association IS Bindra Stadium, ,10.0,0/30,43.33
27/01/2013,England,Himachal Pradesh Cricket Association Stadium, ,9.0,0/45,49.33
06/06/2013,South Africa,Sophia Gardens,M Morkel (b),7.0,2/49,44.18
 , , ,C A Ingram (c S K Raina), , , 
11/06/2013,West Indies,Kennington Oval,C H Gayle (c R Ashwin),8.0,1/32,44.50
15/06/2013,Pakistan,Edgbaston,Mohammad Hafeez (c †M S Dhoni),8.0,2/19,41.57
 , , ,Nasir Jamshed (c S K Raina), , , 
20/06/2013,Sri Lanka,Sophia Gardens,M D K J Perera (c S K Raina),9.0,1/18,42.40
23/06/2013,England,Edgbaston, ,3.0,0/19,43.60
30/06/2013,West Indies,Sabina Park,M N Samuels (b),7.0,1/36,43.50
05/07/2013,West Indies,Queen's Park Oval,C H Gayle (c †K D Karthik),8.0,3/29,39.16
 , , ,K A Pollard (c R Ashwin), , , 
 , , ,D M Bravo (c R Ashwin), , , 
09/07/2013,Sri Lanka,Queen's Park Oval,D P M D Jayawardene (c M Vijay),6.0,4/8,33.91
 , , ,K C Sangakkara (lbw), , , 
 , , ,W U Tharanga (c S K Raina), , , 
 , , ,H D R L Thirimanne (c V Kohli), , , 
11/07/2013,Sri Lanka,Queen's Park Oval,D P M D Jayawardene (c R Ashwin),8.0,2/24,33.12
 , , ,W U Tharanga (c †M S Dhoni), , , 
13/10/2013,Australia,Maharashtra Cricket Association Stadium, ,7.0,0/41,34.80
16/10/2013,Australia,Sawai Mansingh Stadium, ,10.0,0/54,37.20
19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,B J Haddin (c R A Jadeja),10.0,1/50,38.08
30/10/2013,Australia,Vidarbha Cricket Association Stadium,P J Hughes (c V Kohli),8.0,1/42,38.44
02/11/2013,Australia,M Chinnaswamy Stadium, ,8.0,0/47,40.22
21/11/2013,West Indies,Nehru Stadium (Kochi), ,5.0,0/26,41.33
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,D J J Bravo (c S Dhawan),9.0,2/56,40.34
 , , ,K O A Powell (c & b), , , 
27/11/2013,West Indies,Green Park,J Charles (b),8.0,1/42,40.60
05/12/2013,South Africa,New Wanderers Stadium, ,9.0,0/68,42.40
19/01/2014,New Zealand,McLean Park,B B McCullum (c †M S Dhoni),10.0,1/38,42.97
22/01/2014,New Zealand,Seddon Park,N L McCullum (b),7.0,1/43,42.94
25/01/2014,New Zealand,Eden Park,J D Ryder (b),9.0,1/48,43.27
28/01/2014,New Zealand,Seddon Park, ,10.0,0/62,45.09
31/01/2014,New Zealand,Westpac Stadium,J D Ryder (c A M Rahane),8.0,1/48,45.18
26/02/2014,Bangladesh,Khan Shaheb Osman Ali Stadium,Ziaur Rahman (c V R Aaron),8.0,1/41,45.26
28/02/2014,Sri Lanka,Khan Shaheb Osman Ali Stadium, ,9.2,0/45,46.86
01/03/2014,Pakistan,Shere Bangla National Stadium,Umar Gul (c A M Rahane),10.0,2/56,45.95
 , , ,Mohammad Talha (c R A Jadeja), , , 
05/03/2014,Afghanistan,Shere Bangla National Stadium, ,8.0,0/25,47.24
27/08/2014,England,Sophia Gardens,J E Root (b),7.0,1/30,47.11
30/08/2014,England,Trent Bridge,J C Tredwell (c & b),8.0,1/45,47.13
02/09/2014,England,Edgbaston,A N Cook (c S K Raina),8.0,2/14,46.00
 , , ,A D Hales (b), , , 
05/09/2014,England,Headingley,M M Ali (c U T Yadav),8.0,1/45,46.05
08/10/2014,West Indies,Nehru Stadium (Kochi), ,10.0,0/38,47.48
11/10/2014,West Indies,Feroz Shah Kotla, ,7.0,0/32,48.48
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,K A Pollard (c S Dhawan),10.0,2/25,47.64
 , , ,J O Holder (c S K Raina), , , 
18/01/2015,Australia,Melbourne Cricket Ground,G J Maxwell (c & b),9.5,1/44,47.89
20/01/2015,England,Brisbane Cricket Ground, ,2.0,0/18,48.16
28/02/2015,United Arab Emirates,WACA Ground,Amjad Ali (c †M S Dhoni),5.0,1/19,47.76
18/06/2015,Bangladesh,Shere Bangla National Stadium,Rubel Hossain (c M M Sharma),7.0,2/37,46.65
 , , ,Taskin Ahmed (c V Kohli), , , 
21/06/2015,Bangladesh,Shere Bangla National Stadium, ,5.0,0/32,47.27
10/07/2015,Zimbabwe,Harare Sports Club,C J Chibhabha (c A M Rahane),10.0,1/35,47.53
12/07/2015,Zimbabwe,Harare Sports Club,H Masakadza (c †R V Uthappa),10.0,4/33,45.08
 , , ,E Chigumbura (c A M Rahane), , , 
 , , ,A G Cremer (c A M Rahane), , , 
 , , ,D T Tiripano (c A R Patel), , , 
14/07/2015,Zimbabwe,Harare Sports Club, ,6.0,0/12,45.75
11/10/2015,South Africa,Green Park, ,10.0,0/67,46.89
14/10/2015,South Africa,Holkar Cricket Stadium,M Morkel (c S K Raina),8.4,3/41,45.30
 , , ,D A Miller (c †M S Dhoni), , , 
 , , ,Imran Tahir (c †M S Dhoni), , , 
18/10/2015,South Africa,Saurashtra Cricket Association Stadium, ,10.0,0/65,46.38
22/10/2015,South Africa,MA Chidambaram Stadium,A B de Villiers (c †M S Dhoni),10.0,3/68,45.03
 , , ,D W Steyn (c A M Rahane), , , 
 , , ,A M Phangiso (c A R Patel), , , 
25/10/2015,South Africa,Wankhede Stadium,A B de Villiers (c †M S Dhoni),10.0,1/106,45.28
12/01/2016,Australia,WACA Ground, ,9.0,0/42,46.18
20/01/2016,Australia,Manuka Oval, ,8.0,0/69,46.98
19/01/2017,England,Barabati Stadium,M M Ali (b),10.0,1/63,47.20
22/01/2017,England,Eden Gardens, ,8.0,0/56,47.98
04/06/2017,Pakistan,Edgbaston,Ahmed Shehzad (lbw),5.0,1/23,47.69
08/06/2017,Sri Lanka,Kennington Oval,N Dickwella (c R A Jadeja),10.0,1/54,47.89
11/06/2017,South Africa,Kennington Oval,M Morkel (c V Kohli),7.3,2/23,47.11
 , , ,K Rabada (c †M S Dhoni), , , 
15/06/2017,Bangladesh,Edgbaston,Sabbir Rahman (c R A Jadeja),10.0,2/53,46.60
 , , ,Soumya Sarkar (b), , , 
18/06/2017,Pakistan,Kennington Oval,Shoaib Malik (c K M Jadhav),10.0,1/44,46.79
25/06/2017,West Indies,Queen's Park Oval,K O A Powell (c †M S Dhoni),5.0,2/9,45.89
 , , ,J N Mohammed (c H H Pandya), , , 
30/06/2017,West Indies,Sir Vivian Richards Stadium, ,5.0,0/19,46.31
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium, ,6.0,0/33,46.83
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium, ,10.0,0/53,47.69
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium, ,9.0,0/41,48.46
03/09/2017,Sri Lanka,R Premadasa Stadium,S L Malinga (c sub),9.4,5/42,46.00
 , , ,H D R L Thirimanne (b), , , 
 , , ,E M D Y Munaweera (c V Kohli), , , 
 , , ,N Dickwella (c & b), , , 
 , , ,T A M Siriwardana (c S N Thakur), , , 
17/09/2017,Australia,MA Chidambaram Stadium,N M Coulter-Nile (c K M Jadhav),4.0,1/25,45.71
21/09/2017,Australia,Eden Gardens,D A Warner (c A M Rahane),6.1,3/9,44.44
 , , ,K W Richardson (lbw), , , 
 , , ,H W R Cartwright (b), , , 
24/09/2017,Australia,Holkar Cricket Stadium, ,10.0,0/52,45.20
01/10/2017,Australia,Vidarbha Cricket Association Stadium,N M Coulter-Nile (b),8.0,1/40,45.24
22/10/2017,New Zealand,Wankhede Stadium,L R P L Taylor (c Y S Chahal),10.0,1/56,45.42
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,M J Guptill (c †M S Dhoni),10.0,3/45,44.51
 , , ,C Munro (b), , , 
 , , ,H M Nicholls (b), , , 
29/10/2017,New Zealand,Green Park,H M Nicholls (b),10.0,1/92,44.69
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,H D R L Thirimanne (b),8.4,1/42,44.78
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,S S Pathirana (c S Dhawan),9.0,1/40,44.89
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,D A S Gunaratne (c †M S Dhoni),6.5,1/35,44.84
01/02/2018,South Africa,Kingsmead,F du Plessis (c H H Pandya),10.0,1/71,45.01
04/02/2018,South Africa,SuperSport Park,H M Amla (c †M S Dhoni),5.0,1/19,44.84
07/02/2018,South Africa,Newlands, ,7.0,0/41,45.31
10/02/2018,South Africa,New Wanderers Stadium, ,4.0,0/27,45.58
13/02/2018,South Africa,St George's Park, ,7.0,0/43,46.04
17/07/2018,England,Headingley, ,7.0,0/49,46.51
18/09/2018,Hong Kong,Dubai International Cricket Stadium, ,9.0,0/50,47.11
19/09/2018,Pakistan,Dubai International Cricket Stadium,Hasan Ali (c K D Karthik),7.0,3/15,46.04
 , , ,Fakhar Zaman (c Y S Chahal), , , 
 , , ,Imam-ul-Haq (c †M S Dhoni), , , 
21/09/2018,Bangladesh,Dubai International Cricket Stadium,Mashrafe Mortaza (c J J Bumrah),10.0,3/32,45.23
 , , ,Mahmudullah (lbw), , , 
 , , ,Liton Das (c K M Jadhav), , , 
23/09/2018,Pakistan,Dubai International Cricket Stadium, ,9.0,0/46,45.79
28/09/2018,Bangladesh,Dubai International Cricket Stadium, ,7.0,0/33,46.23
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,J O Holder (c sub),10.0,1/70,46.37
29/10/2018,West Indies,Brabourne Stadium,C Hemraj (c A T Rayudu),5.0,1/30,46.20
01/11/2018,West Indies,Greenfield International Stadium,K O A Powell (c †M S Dhoni),4.0,1/11,45.98
12/01/2019,Australia,Sydney Cricket Ground,A J Finch (b),10.0,2/66,45.66
 , , ,P S P Handscomb (c S Dhawan), , , 
15/01/2019,Australia,Adelaide Oval,S E Marsh (c R A Jadeja),10.0,4/45,44.50
 , , ,P M Siddle (c V Kohli), , , 
 , , ,A J Finch (b), , , 
 , , ,G J Maxwell (c K D Karthik), , , 
18/01/2019,Australia,Melbourne Cricket Ground,A J Finch (lbw),8.0,2/28,44.11
 , , ,A T Carey (c V Kohli), , , 
23/01/2019,New Zealand,McLean Park, ,5.0,0/20,44.39
26/01/2019,New Zealand,Bay Oval,M J Guptill (c Y S Chahal),7.0,2/42,43.96
 , , ,D A J Bracewell (c S Dhawan), , , 
28/01/2019,New Zealand,Bay Oval,M J Guptill (c †K D Karthik),10.0,2/46,43.71
 , , ,T A Boult (c Mohammed Shami), , , 
31/01/2019,New Zealand,Seddon Park,M J Guptill (c H H Pandya),5.0,2/25,43.20
 , , ,K S Williamson (c †K D Karthik), , , 
03/02/2019,New Zealand,Westpac Stadium,T A Boult (c Mohammed Shami),7.1,1/38,43.20
10/03/2019,Australia,Punjab Cricket Association IS Bindra Stadium,A J Finch (b),9.0,1/67,43.30
13/03/2019,Australia,Feroz Shah Kotla,U T Khawaja (c V Kohli),10.0,3/48,42.70
 , , ,P J Cummins (c & b), , , 
 , , ,M P Stoinis (b), , , 
